season,date,match_name,result,h_odd,d_odd,a_odd
2015/2016,01 May 2016,Southampton - Manchester City,4:2,2.40,3.49,3.03
2015/2016,01 May 2016,Manchester Utd - Leicester,1:1,-,-,-
2015/2016,01 May 2016,Swansea - Liverpool,3:1,3.55,3.52,2.13
2015/2016,30 Apr 2016,Arsenal - Norwich,1:0,1.25,6.35,12.95
2015/2016,30 Apr 2016,Everton - Bournemouth,2:1,2.40,3.66,2.89
2015/2016,30 Apr 2016,Newcastle - Crystal Palace,1:0,-,-,-
2015/2016,30 Apr 2016,Stoke - Sunderland,1:1,2.92,3.37,2.51
2015/2016,30 Apr 2016,Watford - Aston Villa,3:2,1.72,3.76,5.33
2015/2016,30 Apr 2016,West Brom - West Ham,0:3,3.92,3.54,2.00
2015/2016,25 Apr 2016,Tottenham - West Brom,1:1,1.22,6.82,14.20
2015/2016,24 Apr 2016,Leicester - Swansea,4:0,-,-,-
2015/2016,24 Apr 2016,Sunderland - Arsenal,0:0,5.40,4.16,1.65
2015/2016,23 Apr 2016,Aston Villa - Southampton,2:4,6.83,4.15,1.54
2015/2016,23 Apr 2016,Bournemouth - Chelsea,1:4,3.46,3.54,2.15
2015/2016,23 Apr 2016,Liverpool - Newcastle,2:2,1.51,4.68,6.46
2015/2016,23 Apr 2016,Manchester City - Stoke,4:0,1.30,5.87,10.43
2015/2016,21 Apr 2016,Arsenal - West Brom,2:0,1.26,6.23,13.17
2015/2016,20 Apr 2016,Liverpool - Everton,4:0,1.67,4.07,5.30
2015/2016,20 Apr 2016,Manchester Utd - Crystal Palace,2:0,1.43,4.61,8.74
2015/2016,20 Apr 2016,West Ham - Watford,3:1,1.45,4.67,7.60
2015/2016,19 Apr 2016,Newcastle - Manchester City,1:1,6.27,4.47,1.54
2015/2016,18 Apr 2016,Stoke - Tottenham,0:4,4.87,3.90,1.75
2015/2016,17 Apr 2016,Arsenal - Crystal Palace,1:1,1.33,5.64,9.50
2015/2016,17 Apr 2016,Bournemouth - Liverpool,1:2,-,-,-
2015/2016,17 Apr 2016,Leicester - West Ham,2:2,1.94,3.58,4.14
2015/2016,16 Apr 2016,Chelsea - Manchester City,0:3,2.60,3.51,2.75
2015/2016,16 Apr 2016,Everton - Southampton,1:1,2.98,3.38,2.48
2015/2016,16 Apr 2016,Manchester Utd - Aston Villa,1:0,1.25,6.19,14.24
2015/2016,16 Apr 2016,Newcastle - Swansea,3:0,2.42,3.37,3.08
2015/2016,16 Apr 2016,West Brom - Watford,0:1,2.38,3.16,3.38
2015/2016,16 Apr 2016,Norwich - Sunderland,0:3,2.34,3.30,3.30
2015/2016,13 Apr 2016,Crystal Palace - Everton,0:0,2.70,3.31,2.78
2015/2016,10 Apr 2016,Liverpool - Stoke,4:1,1.66,3.94,5.71
2015/2016,10 Apr 2016,Tottenham - Manchester Utd,3:0,1.98,3.54,4.05
2015/2016,10 Apr 2016,Sunderland - Leicester,0:2,3.29,3.30,2.35
2015/2016,09 Apr 2016,Manchester City - West Brom,2:1,1.34,5.22,10.17
2015/2016,09 Apr 2016,Aston Villa - Bournemouth,1:2,3.72,3.46,2.09
2015/2016,09 Apr 2016,Crystal Palace - Norwich,1:0,1.91,3.47,4.50
2015/2016,09 Apr 2016,Southampton - Newcastle,3:1,1.62,4.07,5.94
2015/2016,09 Apr 2016,Swansea - Chelsea,1:0,3.06,3.32,2.44
2015/2016,09 Apr 2016,Watford - Everton,1:1,3.48,3.41,2.20
2015/2016,09 Apr 2016,West Ham - Arsenal,3:3,3.94,3.83,1.93
2015/2016,03 Apr 2016,Manchester Utd - Everton,1:0,1.96,3.57,4.13
2015/2016,03 Apr 2016,Leicester - Southampton,1:0,2.31,3.27,3.38
2015/2016,02 Apr 2016,Liverpool - Tottenham,1:1,2.16,3.52,3.50
2015/2016,02 Apr 2016,Arsenal - Watford,4:0,1.35,5.31,9.55
2015/2016,02 Apr 2016,Bournemouth - Manchester City,0:4,3.95,3.61,1.99
2015/2016,02 Apr 2016,Norwich - Newcastle,3:2,2.32,3.32,3.32
2015/2016,02 Apr 2016,Stoke - Swansea,2:2,2.12,3.33,3.83
2015/2016,02 Apr 2016,Sunderland - West Brom,0:0,2.00,3.36,4.24
2015/2016,02 Apr 2016,West Ham - Crystal Palace,2:2,1.87,3.61,4.52
2015/2016,02 Apr 2016,Aston Villa - Chelsea,0:4,5.01,3.61,1.80
2015/2016,20 Mar 2016,Manchester City - Manchester Utd,0:1,1.97,3.53,4.08
2015/2016,20 Mar 2016,Tottenham - Bournemouth,3:0,1.51,4.29,7.15
2015/2016,20 Mar 2016,Newcastle - Sunderland,1:1,2.20,3.24,3.67
2015/2016,20 Mar 2016,Southampton - Liverpool,3:2,-,-,-
2015/2016,19 Mar 2016,Swansea - Aston Villa,1:0,-,-,-
2015/2016,19 Mar 2016,Chelsea - West Ham,2:2,1.81,3.71,4.77
2015/2016,19 Mar 2016,Crystal Palace - Leicester,0:1,2.91,3.30,2.58
2015/2016,19 Mar 2016,Watford - Stoke,1:2,-,-,-
2015/2016,19 Mar 2016,West Brom - Norwich,0:1,2.40,3.22,3.26
2015/2016,19 Mar 2016,Everton - Arsenal,0:2,2.73,3.49,2.62
2015/2016,14 Mar 2016,Leicester - Newcastle,1:0,1.55,4.36,6.36
2015/2016,13 Mar 2016,Aston Villa - Tottenham,0:2,7.24,4.38,1.50
2015/2016,12 Mar 2016,Bournemouth - Swansea,3:2,1.99,3.45,4.12
2015/2016,12 Mar 2016,Stoke - Southampton,1:2,2.71,3.19,2.85
2015/2016,12 Mar 2016,Norwich - Manchester City,0:0,6.62,4.27,1.54
2015/2016,06 Mar 2016,West Brom - Manchester Utd,1:0,4.40,3.44,1.94
2015/2016,06 Mar 2016,Crystal Palace - Liverpool,1:2,3.74,3.45,2.09
2015/2016,05 Mar 2016,Watford - Leicester,0:1,2.96,3.30,2.55
2015/2016,05 Mar 2016,Chelsea - Stoke,1:1,1.53,4.27,6.87
2015/2016,05 Mar 2016,Manchester City - Aston Villa,4:0,-,-,-
2015/2016,05 Mar 2016,Newcastle - Bournemouth,1:3,2.61,3.30,2.88
2015/2016,05 Mar 2016,Southampton - Sunderland,1:1,1.59,4.08,6.28
2015/2016,05 Mar 2016,Swansea - Norwich,1:0,2.12,3.33,3.80
2015/2016,05 Mar 2016,Everton - West Ham,2:3,1.66,4.08,5.37
2015/2016,05 Mar 2016,Tottenham - Arsenal,2:2,2.33,3.44,3.19
2015/2016,02 Mar 2016,Liverpool - Manchester City,3:0,2.73,3.47,2.64
2015/2016,02 Mar 2016,Manchester Utd - Watford,1:0,1.61,3.97,6.23
2015/2016,02 Mar 2016,Arsenal - Swansea,1:2,1.29,5.73,11.91
2015/2016,02 Mar 2016,Stoke - Newcastle,1:0,-,-,-
2015/2016,02 Mar 2016,West Ham - Tottenham,1:0,3.58,3.42,2.17
2015/2016,01 Mar 2016,Aston Villa - Everton,1:3,5.54,4.02,1.66
2015/2016,01 Mar 2016,Bournemouth - Southampton,2:0,2.84,3.24,2.69
2015/2016,01 Mar 2016,Leicester - West Brom,2:2,-,-,-
2015/2016,01 Mar 2016,Norwich - Chelsea,1:2,5.39,3.87,1.70
2015/2016,01 Mar 2016,Sunderland - Crystal Palace,2:2,2.46,3.25,3.12
2015/2016,28 Feb 2016,Manchester Utd - Arsenal,3:2,3.37,3.36,2.29
2015/2016,28 Feb 2016,Tottenham - Swansea,2:1,-,-,-
2015/2016,27 Feb 2016,West Brom - Crystal Palace,3:2,2.85,3.16,2.73
2015/2016,27 Feb 2016,Leicester - Norwich,1:0,1.58,4.16,6.31
2015/2016,27 Feb 2016,Southampton - Chelsea,1:2,3.15,3.27,2.43
2015/2016,27 Feb 2016,Stoke - Aston Villa,2:1,1.89,3.45,4.65
2015/2016,27 Feb 2016,Watford - Bournemouth,0:0,2.62,3.27,2.89
2015/2016,27 Feb 2016,West Ham - Sunderland,1:0,1.84,3.66,4.59
2015/2016,14 Feb 2016,Manchester City - Tottenham,1:2,2.12,3.39,3.73
2015/2016,14 Feb 2016,Aston Villa - Liverpool,0:6,5.58,3.75,1.70
2015/2016,14 Feb 2016,Arsenal - Leicester,2:1,1.68,4.19,4.99
2015/2016,13 Feb 2016,Chelsea - Newcastle,5:1,1.38,5.10,8.77
2015/2016,13 Feb 2016,Bournemouth - Stoke,1:3,1.94,3.59,4.19
2015/2016,13 Feb 2016,Crystal Palace - Watford,1:2,2.18,3.27,3.71
2015/2016,13 Feb 2016,Everton - West Brom,0:1,1.49,4.30,7.69
2015/2016,13 Feb 2016,Norwich - West Ham,2:2,2.52,3.33,2.97
2015/2016,13 Feb 2016,Swansea - Southampton,0:1,3.19,3.19,2.45
2015/2016,13 Feb 2016,Sunderland - Manchester Utd,2:1,5.12,3.59,1.79
2015/2016,07 Feb 2016,Chelsea - Manchester Utd,1:1,2.17,3.27,3.78
2015/2016,07 Feb 2016,Bournemouth - Arsenal,0:2,4.44,3.63,1.88
2015/2016,06 Feb 2016,Southampton - West Ham,1:0,1.71,3.77,5.33
2015/2016,06 Feb 2016,Aston Villa - Norwich,2:0,2.47,3.18,3.16
2015/2016,06 Feb 2016,Liverpool - Sunderland,2:2,1.45,4.63,7.89
2015/2016,06 Feb 2016,Newcastle - West Brom,1:0,2.24,3.28,3.52
2015/2016,06 Feb 2016,Stoke - Everton,0:3,2.87,3.29,2.62
2015/2016,06 Feb 2016,Swansea - Crystal Palace,1:1,2.27,3.19,3.55
2015/2016,06 Feb 2016,Tottenham - Watford,1:0,1.49,4.37,7.34
2015/2016,06 Feb 2016,Manchester City - Leicester,1:3,1.62,4.12,5.74
2015/2016,03 Feb 2016,Everton - Newcastle,3:0,1.70,3.99,5.05
2015/2016,03 Feb 2016,Watford - Chelsea,0:0,4.75,3.69,1.82
2015/2016,02 Feb 2016,Crystal Palace - Bournemouth,1:2,2.59,3.20,2.95
2015/2016,02 Feb 2016,Manchester Utd - Stoke,3:0,-,-,-
2015/2016,02 Feb 2016,West Brom - Swansea,1:1,2.60,3.05,3.10
2015/2016,02 Feb 2016,Arsenal - Southampton,0:0,1.81,3.54,5.01
2015/2016,02 Feb 2016,Leicester - Liverpool,2:0,2.82,3.26,2.68
2015/2016,02 Feb 2016,Norwich - Tottenham,0:3,4.77,3.91,1.75
2015/2016,02 Feb 2016,Sunderland - Manchester City,0:1,6.93,4.60,1.49
2015/2016,02 Feb 2016,West Ham - Aston Villa,2:0,1.84,3.52,4.82
2015/2016,24 Jan 2016,Arsenal - Chelsea,0:1,-,-,-
2015/2016,24 Jan 2016,Everton - Swansea,1:2,1.73,3.81,5.28
2015/2016,23 Jan 2016,West Ham - Manchester City,2:2,4.93,4.04,1.72
2015/2016,23 Jan 2016,Crystal Palace - Tottenham,1:3,3.62,3.39,2.15
2015/2016,23 Jan 2016,Leicester - Stoke,3:0,1.90,3.52,4.42
2015/2016,23 Jan 2016,Manchester Utd - Southampton,0:1,-,-,-
2015/2016,23 Jan 2016,Sunderland - Bournemouth,1:1,2.77,3.33,2.69
2015/2016,23 Jan 2016,Watford - Newcastle,2:1,1.98,3.52,4.04
2015/2016,23 Jan 2016,West Brom - Aston Villa,0:0,2.29,3.13,3.62
2015/2016,23 Jan 2016,Norwich - Liverpool,4:5,4.21,3.48,1.97
2015/2016,18 Jan 2016,Swansea - Watford,1:0,2.28,3.25,3.50
2015/2016,17 Jan 2016,Stoke - Arsenal,0:0,3.37,3.24,2.34
2015/2016,17 Jan 2016,Liverpool - Manchester Utd,0:1,2.66,3.07,3.05
2015/2016,16 Jan 2016,Aston Villa - Leicester,1:1,3.61,3.45,2.14
2015/2016,16 Jan 2016,Bournemouth - Norwich,3:0,1.91,3.53,4.41
2015/2016,16 Jan 2016,Chelsea - Everton,3:3,-,-,-
2015/2016,16 Jan 2016,Manchester City - Crystal Palace,4:0,1.39,5.05,8.74
2015/2016,16 Jan 2016,Newcastle - West Ham,2:1,2.36,3.38,3.21
2015/2016,16 Jan 2016,Southampton - West Brom,3:0,1.71,3.59,5.91
2015/2016,16 Jan 2016,Tottenham - Sunderland,4:1,-,-,-
2015/2016,13 Jan 2016,Liverpool - Arsenal,3:3,2.67,3.32,2.81
2015/2016,13 Jan 2016,Tottenham - Leicester,0:1,1.83,3.62,4.78
2015/2016,13 Jan 2016,Chelsea - West Brom,2:2,1.45,4.42,8.58
2015/2016,13 Jan 2016,Manchester City - Everton,0:0,1.52,4.56,6.43
2015/2016,13 Jan 2016,Southampton - Watford,2:0,2.02,3.44,4.02
2015/2016,13 Jan 2016,Stoke - Norwich,3:1,2.03,3.39,4.13
2015/2016,13 Jan 2016,Swansea - Sunderland,2:4,1.85,3.51,4.83
2015/2016,12 Jan 2016,Aston Villa - Crystal Palace,1:0,3.27,3.21,2.39
2015/2016,12 Jan 2016,Bournemouth - West Ham,1:3,1.99,3.68,3.84
2015/2016,12 Jan 2016,Newcastle - Manchester Utd,3:3,4.92,3.63,1.80
2015/2016,03 Jan 2016,Everton - Tottenham,1:1,2.57,3.39,2.86
2015/2016,03 Jan 2016,Crystal Palace - Chelsea,0:3,4.09,3.44,2.01
2015/2016,02 Jan 2016,Watford - Manchester City,1:2,5.03,3.95,1.72
2015/2016,02 Jan 2016,Arsenal - Newcastle,1:0,1.25,6.63,12.62
2015/2016,02 Jan 2016,Leicester - Bournemouth,0:0,1.94,3.70,4.25
2015/2016,02 Jan 2016,Manchester Utd - Swansea,2:1,1.49,4.16,8.14
2015/2016,02 Jan 2016,Norwich - Southampton,1:0,2.98,3.22,2.56
2015/2016,02 Jan 2016,Sunderland - Aston Villa,3:1,2.51,3.17,3.13
2015/2016,02 Jan 2016,West Brom - Stoke,2:1,2.90,3.08,2.75
2015/2016,02 Jan 2016,West Ham - Liverpool,2:0,4.08,3.51,1.98
2015/2016,30 Dec 2015,Sunderland - Liverpool,0:1,5.59,4.03,1.65
2015/2016,29 Dec 2015,Leicester - Manchester City,0:0,4.12,3.92,1.88
2015/2016,28 Dec 2015,Arsenal - Bournemouth,2:0,1.52,4.30,7.17
2015/2016,28 Dec 2015,Manchester Utd - Chelsea,0:0,2.49,3.21,3.14
2015/2016,28 Dec 2015,West Ham - Southampton,2:1,3.48,3.33,2.26
2015/2016,28 Dec 2015,Crystal Palace - Swansea,0:0,1.99,3.37,4.27
2015/2016,28 Dec 2015,Everton - Stoke,3:4,1.86,3.58,4.57
2015/2016,28 Dec 2015,Norwich - Aston Villa,2:0,-,-,-
2015/2016,28 Dec 2015,Watford - Tottenham,1:2,3.25,3.38,2.34
2015/2016,28 Dec 2015,West Brom - Newcastle,1:0,2.16,3.29,3.72
2015/2016,26 Dec 2015,Southampton - Arsenal,4:0,3.55,3.39,2.19
2015/2016,26 Dec 2015,Newcastle - Everton,0:1,3.50,3.52,2.16
2015/2016,26 Dec 2015,Aston Villa - West Ham,1:1,2.53,3.21,3.09
2015/2016,26 Dec 2015,Bournemouth - Crystal Palace,0:0,2.19,3.41,3.52
2015/2016,26 Dec 2015,Chelsea - Watford,2:2,1.50,4.36,7.03
2015/2016,26 Dec 2015,Liverpool - Leicester,1:0,2.00,3.70,3.60
2015/2016,26 Dec 2015,Manchester City - Sunderland,4:1,1.21,7.35,13.88
2015/2016,26 Dec 2015,Swansea - West Brom,1:0,1.87,3.25,4.40
2015/2016,26 Dec 2015,Tottenham - Norwich,3:0,1.46,4.50,7.61
2015/2016,26 Dec 2015,Stoke - Manchester Utd,2:0,3.62,3.27,2.24
2015/2016,21 Dec 2015,Arsenal - Manchester City,2:1,2.45,3.30,3.00
2015/2016,20 Dec 2015,Swansea - West Ham,0:0,2.05,3.38,4.06
2015/2016,20 Dec 2015,Watford - Liverpool,3:0,3.68,3.46,2.11
2015/2016,19 Dec 2015,Newcastle - Aston Villa,1:1,2.01,3.49,4.03
2015/2016,19 Dec 2015,Chelsea - Sunderland,3:1,1.32,5.48,10.56
2015/2016,19 Dec 2015,Everton - Leicester,2:3,2.11,3.64,3.48
2015/2016,19 Dec 2015,Manchester Utd - Norwich,1:2,1.43,4.61,8.26
2015/2016,19 Dec 2015,Southampton - Tottenham,0:2,2.74,3.30,2.72
2015/2016,19 Dec 2015,Stoke - Crystal Palace,1:2,2.52,3.20,3.05
2015/2016,19 Dec 2015,West Brom - Bournemouth,1:2,2.71,3.23,2.78
2015/2016,14 Dec 2015,Leicester - Chelsea,2:1,3.41,3.47,2.22
2015/2016,13 Dec 2015,Liverpool - West Brom,2:2,1.44,4.51,8.44
2015/2016,13 Dec 2015,Tottenham - Newcastle,1:2,1.37,5.32,8.80
2015/2016,13 Dec 2015,Aston Villa - Arsenal,0:2,6.48,4.21,1.56
2015/2016,12 Dec 2015,Bournemouth - Manchester Utd,2:1,3.27,3.24,2.38
2015/2016,12 Dec 2015,Crystal Palace - Southampton,1:0,2.43,3.27,3.19
2015/2016,12 Dec 2015,Manchester City - Swansea,2:1,1.35,5.30,9.44
2015/2016,12 Dec 2015,Sunderland - Watford,0:1,2.85,3.23,2.69
2015/2016,12 Dec 2015,West Ham - Stoke,0:0,2.61,3.23,2.94
2015/2016,12 Dec 2015,Norwich - Everton,1:1,3.11,3.44,2.38
2015/2016,07 Dec 2015,Everton - Crystal Palace,1:1,2.09,3.46,3.79
2015/2016,06 Dec 2015,Newcastle - Liverpool,2:0,6.11,4.34,1.56
2015/2016,05 Dec 2015,Chelsea - Bournemouth,0:1,1.40,4.80,8.88
2015/2016,05 Dec 2015,Arsenal - Sunderland,3:1,1.28,6.11,11.38
2015/2016,05 Dec 2015,Manchester Utd - West Ham,0:0,1.46,4.55,8.03
2015/2016,05 Dec 2015,Southampton - Aston Villa,1:1,1.51,4.42,7.05
2015/2016,05 Dec 2015,Swansea - Leicester,0:3,2.57,3.38,2.89
2015/2016,05 Dec 2015,Watford - Norwich,2:0,2.31,3.34,3.31
2015/2016,05 Dec 2015,West Brom - Tottenham,1:1,4.72,3.66,1.83
2015/2016,05 Dec 2015,Stoke - Manchester City,2:0,5.22,3.85,1.72
2015/2016,29 Nov 2015,Liverpool - Swansea,1:0,1.49,4.38,7.50
2015/2016,29 Nov 2015,Norwich - Arsenal,1:1,5.85,4.28,1.59
2015/2016,29 Nov 2015,West Ham - West Brom,1:1,2.12,3.31,3.83
2015/2016,29 Nov 2015,Tottenham - Chelsea,0:0,2.64,3.33,2.82
2015/2016,28 Nov 2015,Leicester - Manchester Utd,1:1,3.14,3.43,2.38
2015/2016,28 Nov 2015,Aston Villa - Watford,2:3,2.75,3.18,2.81
2015/2016,28 Nov 2015,Bournemouth - Everton,3:3,2.66,3.54,2.68
2015/2016,28 Nov 2015,Crystal Palace - Newcastle,5:1,1.71,3.91,5.10
2015/2016,28 Nov 2015,Manchester City - Southampton,3:1,-,-,-
2015/2016,28 Nov 2015,Sunderland - Stoke,2:0,2.99,3.18,2.59
2015/2016,23 Nov 2015,Crystal Palace - Sunderland,0:1,1.55,4.34,6.44
2015/2016,22 Nov 2015,Tottenham - West Ham,4:1,-,-,-
2015/2016,21 Nov 2015,Manchester City - Liverpool,1:4,-,-,-
2015/2016,21 Nov 2015,Chelsea - Norwich,1:0,1.42,4.84,8.29
2015/2016,21 Nov 2015,Everton - Aston Villa,4:0,1.68,3.91,5.48
2015/2016,21 Nov 2015,Newcastle - Leicester,0:3,2.84,3.51,2.51
2015/2016,21 Nov 2015,Southampton - Stoke,0:1,-,-,-
2015/2016,21 Nov 2015,Swansea - Bournemouth,2:2,2.25,3.32,3.49
2015/2016,21 Nov 2015,West Brom - Arsenal,2:1,6.29,4.25,1.56
2015/2016,21 Nov 2015,Watford - Manchester Utd,1:2,4.01,3.32,2.08
2015/2016,08 Nov 2015,Arsenal - Tottenham,1:1,1.80,3.88,4.54
2015/2016,08 Nov 2015,Liverpool - Crystal Palace,1:2,1.63,4.02,6.04
2015/2016,08 Nov 2015,Aston Villa - Manchester City,0:0,8.31,4.96,1.41
2015/2016,07 Nov 2015,Stoke - Chelsea,1:0,4.41,3.62,1.90
2015/2016,07 Nov 2015,Leicester - Watford,2:1,1.91,3.66,4.25
2015/2016,07 Nov 2015,Manchester Utd - West Brom,2:0,-,-,-
2015/2016,07 Nov 2015,Norwich - Swansea,1:0,2.50,3.36,2.97
2015/2016,07 Nov 2015,Sunderland - Southampton,0:1,4.63,3.89,1.78
2015/2016,07 Nov 2015,West Ham - Everton,1:1,2.43,3.51,2.96
2015/2016,07 Nov 2015,Bournemouth - Newcastle,0:1,2.21,3.56,3.34
2015/2016,02 Nov 2015,Tottenham - Aston Villa,3:1,1.40,4.88,8.84
2015/2016,01 Nov 2015,Southampton - Bournemouth,2:0,1.55,4.25,6.67
2015/2016,01 Nov 2015,Everton - Sunderland,6:2,1.49,4.55,7.25
2015/2016,31 Oct 2015,Crystal Palace - Manchester Utd,0:0,4.25,3.51,1.95
2015/2016,31 Oct 2015,Manchester City - Norwich,2:1,1.27,6.10,11.93
2015/2016,31 Oct 2015,Newcastle - Stoke,0:0,2.38,3.38,3.17
2015/2016,31 Oct 2015,Swansea - Arsenal,0:3,4.70,3.89,1.77
2015/2016,31 Oct 2015,Watford - West Ham,2:0,2.54,3.39,2.94
2015/2016,31 Oct 2015,West Brom - Leicester,2:3,2.88,3.35,2.59
2015/2016,31 Oct 2015,Chelsea - Liverpool,1:3,2.10,3.25,3.90
2015/2016,25 Oct 2015,Liverpool - Southampton,1:1,2.10,3.50,3.72
2015/2016,25 Oct 2015,Bournemouth - Tottenham,1:5,3.52,3.45,2.19
2015/2016,25 Oct 2015,Manchester Utd - Manchester City,0:0,2.65,3.26,2.89
2015/2016,25 Oct 2015,Sunderland - Newcastle,3:0,2.62,3.30,2.89
2015/2016,24 Oct 2015,Arsenal - Everton,2:1,1.40,5.22,8.12
2015/2016,24 Oct 2015,Aston Villa - Swansea,1:2,2.95,3.22,2.59
2015/2016,24 Oct 2015,Leicester - Crystal Palace,1:0,2.13,3.52,3.54
2015/2016,24 Oct 2015,Norwich - West Brom,0:1,1.93,3.54,4.26
2015/2016,24 Oct 2015,Stoke - Watford,0:2,2.08,3.35,3.91
2015/2016,24 Oct 2015,West Ham - Chelsea,2:1,4.04,3.76,1.94
2015/2016,19 Oct 2015,Swansea - Stoke,0:1,1.87,3.58,4.57
2015/2016,18 Oct 2015,Newcastle - Norwich,6:2,2.43,3.42,3.04
2015/2016,17 Oct 2015,Watford - Arsenal,0:3,6.00,4.20,1.55
2015/2016,17 Oct 2015,Chelsea - Aston Villa,2:0,1.33,5.51,9.66
2015/2016,17 Oct 2015,Crystal Palace - West Ham,1:3,-,-,-
2015/2016,17 Oct 2015,Everton - Manchester Utd,0:3,3.17,3.35,2.37
2015/2016,17 Oct 2015,Manchester City - Bournemouth,5:1,1.35,5.23,9.73
2015/2016,17 Oct 2015,Southampton - Leicester,2:2,1.75,3.82,4.92
2015/2016,17 Oct 2015,West Brom - Sunderland,1:0,2.11,3.28,3.89
2015/2016,17 Oct 2015,Tottenham - Liverpool,0:0,2.31,3.41,3.31
2015/2016,04 Oct 2015,Arsenal - Manchester Utd,3:0,2.02,3.75,3.72
2015/2016,04 Oct 2015,Swansea - Tottenham,2:2,2.77,3.31,2.73
2015/2016,04 Oct 2015,Everton - Liverpool,1:1,-,-,-
2015/2016,03 Oct 2015,Chelsea - Southampton,1:3,1.75,3.82,4.96
2015/2016,03 Oct 2015,Aston Villa - Stoke,0:1,2.63,3.20,2.92
2015/2016,03 Oct 2015,Bournemouth - Watford,1:1,2.20,3.33,3.56
2015/2016,03 Oct 2015,Manchester City - Newcastle,6:1,1.22,6.87,13.83
2015/2016,03 Oct 2015,Norwich - Leicester,1:2,2.20,3.10,3.40
2015/2016,03 Oct 2015,Sunderland - West Ham,2:2,3.13,3.42,2.36
2015/2016,03 Oct 2015,Crystal Palace - West Brom,2:0,1.83,3.55,4.76
2015/2016,28 Sep 2015,West Brom - Everton,2:3,2.95,3.26,2.58
2015/2016,27 Sep 2015,Watford - Crystal Palace,0:1,2.57,3.35,2.91
2015/2016,26 Sep 2015,Newcastle - Chelsea,2:2,5.63,4.16,1.63
2015/2016,26 Sep 2015,Leicester - Arsenal,2:5,4.61,3.95,1.78
2015/2016,26 Sep 2015,Liverpool - Aston Villa,3:2,1.50,4.26,7.49
2015/2016,26 Sep 2015,Manchester Utd - Sunderland,3:0,1.21,7.11,14.32
2015/2016,26 Sep 2015,Southampton - Swansea,3:1,1.85,3.56,4.71
2015/2016,26 Sep 2015,Stoke - Bournemouth,2:1,2.44,3.37,3.05
2015/2016,26 Sep 2015,West Ham - Norwich,2:2,2.23,3.48,3.38
2015/2016,26 Sep 2015,Tottenham - Manchester City,4:1,3.55,3.53,2.14
2015/2016,20 Sep 2015,Liverpool - Norwich,1:1,1.61,4.05,6.05
2015/2016,20 Sep 2015,Southampton - Manchester Utd,2:3,3.30,3.27,2.36
2015/2016,20 Sep 2015,Tottenham - Crystal Palace,1:0,1.93,3.68,4.05
2015/2016,19 Sep 2015,Manchester City - West Ham,1:2,1.28,6.13,11.04
2015/2016,19 Sep 2015,Aston Villa - West Brom,0:1,2.40,3.13,3.37
2015/2016,19 Sep 2015,Bournemouth - Sunderland,2:0,1.57,4.51,5.65
2015/2016,19 Sep 2015,Newcastle - Watford,1:2,2.23,3.38,3.50
2015/2016,19 Sep 2015,Stoke - Leicester,2:2,2.86,3.34,2.61
2015/2016,19 Sep 2015,Swansea - Everton,0:0,2.19,3.42,3.56
2015/2016,19 Sep 2015,Chelsea - Arsenal,2:0,2.52,3.43,2.89
2015/2016,14 Sep 2015,West Ham - Newcastle,2:0,2.08,3.49,3.67
2015/2016,13 Sep 2015,Leicester - Aston Villa,3:2,1.84,3.71,4.47
2015/2016,13 Sep 2015,Sunderland - Tottenham,0:1,4.24,3.57,1.93
2015/2016,12 Sep 2015,Manchester Utd - Liverpool,3:1,1.94,3.37,4.60
2015/2016,12 Sep 2015,Arsenal - Stoke,2:0,1.30,5.83,10.85
2015/2016,12 Sep 2015,Crystal Palace - Manchester City,0:1,4.97,3.83,1.75
2015/2016,12 Sep 2015,Norwich - Bournemouth,3:1,2.40,3.40,3.08
2015/2016,12 Sep 2015,Watford - Swansea,1:0,2.63,3.29,2.85
2015/2016,12 Sep 2015,West Brom - Southampton,0:0,3.13,3.26,2.44
2015/2016,12 Sep 2015,Everton - Chelsea,3:1,3.54,3.48,2.14
2015/2016,30 Aug 2015,Swansea - Manchester Utd,2:1,3.78,3.35,2.14
2015/2016,30 Aug 2015,Southampton - Norwich,3:0,2.09,3.39,3.86
2015/2016,29 Aug 2015,Tottenham - Everton,0:0,2.07,3.49,3.79
2015/2016,29 Aug 2015,Aston Villa - Sunderland,2:2,-,-,-
2015/2016,29 Aug 2015,Bournemouth - Leicester,1:1,2.05,3.62,3.69
2015/2016,29 Aug 2015,Chelsea - Crystal Palace,1:2,1.37,5.03,9.60
2015/2016,29 Aug 2015,Liverpool - West Ham,0:3,1.37,5.10,9.10
2015/2016,29 Aug 2015,Manchester City - Watford,2:0,1.22,7.07,13.33
2015/2016,29 Aug 2015,Stoke - West Brom,0:1,2.11,3.25,3.98
2015/2016,29 Aug 2015,Newcastle - Arsenal,0:1,5.74,4.42,1.59
2015/2016,24 Aug 2015,Arsenal - Liverpool,0:0,1.78,4.01,4.54
2015/2016,23 Aug 2015,Everton - Manchester City,0:2,5.18,4.13,1.68
2015/2016,23 Aug 2015,Watford - Southampton,0:0,2.71,3.25,2.81
2015/2016,23 Aug 2015,West Brom - Chelsea,2:3,6.91,4.19,1.54
2015/2016,22 Aug 2015,Crystal Palace - Aston Villa,2:1,1.81,3.69,4.79
2015/2016,22 Aug 2015,Leicester - Tottenham,1:1,-,-,-
2015/2016,22 Aug 2015,Norwich - Stoke,1:1,2.18,3.38,3.56
